,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
105,"Blue Christmas","Elvis Presley",929699,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
106,"Con Calma","Daddy Yankee",928586,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
107,"Yellow Hearts","Ant Saunders",927126,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
108,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",922247,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
109,"rockstar (feat. 21 Savage)","Post Malone",921122,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
110,"Christmas (Baby Please Come Home)","Mariah Carey",921055,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
111,SAD!,XXXTENTACION,920287,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
112,"bury a friend","Billie Eilish",920170,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
113,"Money In The Grave (Drake ft. Rick Ross)",Drake,919265,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
114,"SICKO MODE","Travis Scott",912853,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
115,Quizas,"Rich Music LTD",912308,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
116,"My Only Wish (This Year)","Britney Spears",902474,https://open.spotify.com/track/6id0KJ3XgvJLSzyMtHBj67
117,"Dancing With A Stranger (with Normani)","Sam Smith",900521,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
118,Tutu,Camilo,899413,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
119,"Sweet but Psycho","Ava Max",897711,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
120,Indeciso,Reik,895476,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
121,"Si Te Vas",Sech,893654,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
122,"Yo x Ti, Tu x Mi",ROSALÍA,889926,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
123,"bad vibes forever",XXXTENTACION,884839,https://open.spotify.com/track/03eJ2DclFWXYU8GWgANdmZ
124,"Con Altura",ROSALÍA,883228,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
125,Panini,"Lil Nas X",881143,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
126,"Shape of You","Ed Sheeran",874358,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
127,"223's (feat. 9lokknine)","YNW Melly",871629,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
128,"Mean It",Lauv,871613,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
129,"Eastside (with Halsey & Khalid)","benny blanco",849569,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
130,"Black & White","Juice WRLD",847253,https://open.spotify.com/track/1fCeXjoRExPP2qwSBh2aST
131,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,845989,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
132,Fast,"Juice WRLD",842261,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
133,"Graduation (with Juice WRLD)","benny blanco",840534,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm
134,"Talk (feat. Disclosure)",Khalid,839302,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
135,"Step Into Christmas","Elton John",837093,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
136,"Christmas Lights",Coldplay,836047,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
137,"Ballin' (with Roddy Ricch)",Mustard,832863,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
138,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",830864,https://open.spotify.com/track/1a7WZZZH7LzyvorhpOJFTe
139,Graveyard,Halsey,822826,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
140,"Calma - Remix","Pedro Capó",818782,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
141,"Santa Baby","Ariana Grande",817436,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb
142,"High Hopes","Panic! At The Disco",816905,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
143,"Girls Like You (feat. Cardi B)","Maroon 5",815407,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
144,"Like It's Christmas","Jonas Brothers",804261,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
145,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,803881,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
146,"Better Now","Post Malone",803741,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
147,"Say You Won't Let Go","James Arthur",794946,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
148,"Run Rudolph Run - Single Version","Chuck Berry",790035,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
149,Empty,"Juice WRLD",787316,https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v
150,"Look At Her Now","Selena Gomez",785664,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
151,"If I Can't Have You","Shawn Mendes",780608,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
152,"Jocelyn Flores",XXXTENTACION,779812,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
153,"Christmas (Baby Please Come Home)","Darlene Love",778510,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
154,Family,"The Chainsmokers",778487,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
155,"Hear Me Calling","Juice WRLD",773575,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
156,Perfect,"Ed Sheeran",772948,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
157,"QUE PRETENDES","J Balvin",771023,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
158,"MIDDLE CHILD","J. Cole",770847,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
159,"Otro Trago - Remix",Sech,770353,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
160,"KEIN SCHLAF",Nimo,767109,https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3
161,"I'll Be Home","Meghan Trainor",766942,https://open.spotify.com/track/0lTurWECr2XL607eJAj1A3
162,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",763050,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
163,"Be Alright","Dean Lewis",759025,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
164,Woah,"Lil Baby",757279,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
165,"Up All Night",Khalid,749210,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
166,"Fine China",Future,746346,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
167,Moonlight,XXXTENTACION,746251,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
168,"The London (feat. J. Cole & Travis Scott)","Young Thug",744227,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
169,"Let Me Down Slowly","Alec Benjamin",742528,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
170,Youngblood,"5 Seconds of Summer",742355,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
171,Suge,DaBaby,741756,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
172,"11 PM",Maluma,741483,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
173,"Get You The Moon (feat. Snøw)",Kina,736238,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
174,"Santa's Coming For Us",Sia,733924,https://open.spotify.com/track/3AlpkljBS1AU7HFVPms8K6
175,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",732703,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
176,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",728153,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
177,Takeaway,"The Chainsmokers",727742,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
178,"Santa Baby","Kylie Minogue",726959,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
179,"i'm so tired...",Lauv,720642,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY
180,goosebumps,"Travis Scott",718713,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
181,"Old Town Road","Lil Nas X",718145,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
182,"One More Sleep","Leona Lewis",716788,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
183,Bruises,"Lewis Capaldi",716439,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
184,"I Like Me Better",Lauv,715743,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
185,"wish you were gay","Billie Eilish",713615,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
186,"Stuck In A Dream (feat. Gunna)","Lil Mosey",712782,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
